X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.21581737,39.96598037,807,Tiffany Fletcher Recreation Center,1911,PPR_REC,A,Y,N,,Former name Mill Creek Playground and Recreation Center (12/2022).,Programs 11/24
-75.16793882,39.96571906,808,Roberto Clemente Playground,1831,PPR_REC,B,Y,N,, ,Programs 11/24
-75.19562178,39.96747897,809,Miles Mack Playground,1910,PPR_REC,A,Y,N,, ,Programs 11/24
-75.25039597,39.96935865,810,William T Granahan Playground,1864,PPR_REC,B,Y,N,,Located within Cobbs Creek Park,Programs 11/24
-75.16712929,39.96849538,811,Francisville Recreation Center,1859,PPR_REC,A,Y,N,, ,Programs 11/24
-75.25630045,39.97445813,812,Charles A Papa Playground,1929,PPR_REC,A,Y,N,,Located in Morris Park.,Programs 11/24
-75.12780419,39.97185194,813,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,, ,Programs 11/24
-75.14534802,39.97323548,814,Narcissa S Cruz Recreation Center,908,PPR_REC,A,Y,N,,Two Programmable Buildings on site.,Programs 11/24
-75.22811203,39.97551667,815,Conestoga Community Playground,1982,PPR_REC,A,Y,N,, ,Programs 11/24
-75.13233696,39.97756361,816,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.24070891,39.98186735,961,Ernest L Tustin Recreation Center,1965,PPR_REC,A,Y,N,, ,Programs 11/24
-75.16995131,39.98081653,962,Dr Martin Luther King Jr Recreation Center,1985,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.22658553,39.98326167,963,Parkside Evans Recreation Center,1930,PPR_REC,A,Y,N,,Located within West Fairmount Park.,Programs 11/24
-75.16029959,39.98171659,964,Fletcher B Amos Playground,1809,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1184313,39.98101037,965,Frederick Cione Playground,1830,PPR_REC,A,Y,N,, ,Programs 11/24
-75.14745045,39.98323717,966,8th and Diamond Playground,1805,PPR_REC,A,Y,N,, ,Programs 11/24
-75.11255696,39.98412862,967,Cohocksink Recreation Center,1838,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.17484853,39.98759003,968,Eric W (Hank) Gathers Jr Recreation Center,1852,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.0970003,39.99068624,969,Bernard Samuel Playground,1948,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.14978668,39.99681664,970,12th and Cambria Playground,1800,PPR_REC,A,Y,N,, ,Programs 11/24
-75.09865666,39.99770506,971,Robert T Heitzman Recreation Center,1870,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.13762017,40.00044753,972,Ramonita Negron Rivera Recreation and Community Center,1941,PPR_REC,A,Y,Y,,2024 Rebuild Renovations Complete.,Programs 11/24
-75.12154861,40.00016946,973,Sergeant John J McVeigh Recreation Center,1908,PPR_REC,A,Y,Y,,Closed for Rebuild,Programs 11/24
-75.06818741,39.99952346,974,Bridesburg Recreation Center,1822,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.1292342,40.0018467,975,John (Steve) Schmidt Playground,1978,PPR_REC,A,Y,N,, ,Programs 11/24
-75.10836046,40.00145766,976,Joseph A Scanlon Playground,1950,PPR_REC,A,Y,N,, ,Programs 11/24
-75.16140023,40.0062418,977,Jerome Brown Playground,1880,PPR_REC,A,Y,N,, ,Programs 11/24
-75.16868647,40.0454222,978,Waterview Recreation Center,1980,PPR_REC,A,Y,Y,,Closed for Renovations,Programs 11/24
-75.10132019,40.04615633,979,Lawncrest Recreation Center,1891,PPR_REC,A,Y,Y,,Closed for Rebuild (2024),Programs 11/24
-75.17968609,40.04773278,980,Daniel E Rumph II Recreation Center,1945,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.12381393,40.04910704,981,Helen G Sturgis Playground,1960,PPR_REC,A,Y,N,, ,Programs 11/24
-75.14636289,40.05054228,982,Morris Estate Cultural Center,1914,PPR_REC,A,Y,N,, ,Programs 11/24
-75.02456936,40.04789742,983,James J Ramp Playground,1938,PPR_REC,A,Y,N,, ,Programs 11/24
-75.00196045,40.0514017,984,George Jacobs Playground,1877,PPR_REC,A,Y,N,,"Gym on site is Non-PPR, it is an athletic association.",Programs 11/24
-75.18802029,40.05773574,985,Mount Airy Playground,1917,PPR_REC,A,Y,N,, ,Programs 11/24
-75.18239753,40.05709209,986,Pleasant Playground,1936,PPR_REC,A,Y,N,, ,Programs 11/24
-75.07642177,40.05623383,987,Thomas E Jardel Memorial Field,1879,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.15748535,40.06157006,988,William B Simons Recreation Center,1953,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.05077936,40.06174095,989,George C Pelbano Playground,1987,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.23139861,40.06910761,990,Samuel F Houston Playground,1876,PPR_REC,A,Y,N,,Located within Wissahickon Valley Park,Programs 11/24
-74.99194831,40.06823961,991,Thomas Mitchell Playground,1912,PPR_REC,A,Y,N,, ,Programs 11/24
-75.20049791,40.07537903,992,Water Tower Recreation Center,1979,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.08167881,40.07419483,993,Fox Chase Recreation Center,1857,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.17566252,40.08145064,994,Dorothy Emanuel Recreation Center,1849,PPR_REC,A,Y,Y,, ,Programs 11/24
-74.97401896,40.08011207,995,Corporal Jimmy OConnor Memorial Playground,1826,PPR_REC,A,Y,N,,"Gym nearby is NOT PPR, it is an athletic association building. Formerly Chalfont Playground",Programs 11/24
-74.98926858,40.08044252,996,Elizabeth M Picariello Playground,1934,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.02078199,40.09117744,997,Officer Robert Hayes Memorial Playground,1923,PPR_REC,A,Y,Y,,Gym extension constructred in 2019.,Programs 11/24
-74.98906437,40.09578237,998,Michael Palmer Playground,1926,PPR_REC,A,Y,N,,"Northern property building is for the Far NE Athletic Association, it is NOT PPR Programmed.",Programs 11/24
-74.97219479,40.09632119,999,Eileen Fitzpatrick Playground,1983,PPR_REC,A,Y,N,, ,Programs 11/24
-75.03320141,40.10026795,1000,William A Lackman Memorial Playground,1888,PPR_REC,A,Y,N,, ,Programs 11/24
-74.96943963,40.10340606,1001,Jim Junod Recreation Center,1883,PPR_REC,A,Y,N,, ,Programs 11/24
-75.02472468,40.11490966,1002,Tomlinson and Gifford Playground,1863,PPR_REC,A,Y,N,, ,Programs 11/24
-75.15956395,40.04999922,1003,Lonnie Young Recreation Center of East Germantown,1897,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.07587524,40.01422542,1004,William (Billy) Gambrel Playground,1862,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.15171967,39.98607489,1005,Penrose Memorial Playground,1977,PPR_REC,A,Y,N,,,Programs 11/24
-75.22848905,39.93462566,1006,Francis J Myers Recreation Center,1858,PPR_REC,A,Y,Y,,2024-Closed for Rebuild. Moved to Daroff School,Programs 11/24
-75.15077396,39.97608265,1007,Marie Dendy Recreation Center,1902,PPR_REC,A,Y,N,, ,Programs 11/24
-75.13731965,39.97288301,1008,Hancock Playground,1867,PPR_REC,A,Y,N,, ,Programs 11/24
-75.13292583,39.98857526,1009,Waterloo Playground,2901,PPR_REC,A,Y,N,, ,Programs 11/24
-75.23118655,39.97723084,1010,Charles Baker and Carol Baker Rice Recreation Center,1981,PPR_REC,B,Y,N,,Name changed in 2023.,Programs 11/24
-75.19086662,39.9637683,1011,James L Wright Playground,1975,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.16755266,39.99366032,1012,Cecil B Moore Recreation Center,1825,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.18324594,39.93549944,1013,Wharton Square,305,PPR_REC,A,Y,N,,,Programs 11/24
-75.14593696,39.93479863,1014,Shot Tower Recreation Center,969,PPR_REC,A,Y,Y,, ,Programs 11/24
